Section,Item Type,Item Name,Full,View,Create,Edit,Delete,Approve,Recommendation,Notes
Production,Sub,Machine Configuration,YES,YES,YES,YES,YES,NO,Check if needed,
Production,Parent,Personnel,YES,YES,YES,YES,YES,NO,Check if needed,
Production,Sub,Personnel List,YES,YES,YES,YES,YES,NO,Check if needed,
Production,Sub,Shift Assignment,YES,YES,YES,YES,YES,NO,Check if needed,
Production,Sub,Skill Management,YES,YES,YES,YES,YES,NO,Check if needed,
Production,Parent,Tasks,YES,YES,YES,YES,YES,YES,Check if needed,
Production,Sub,Create Task,YES,YES,YES,YES,YES,NO,Check if needed,
Production,Sub,Task Assignment,YES,YES,YES,YES,YES,NO,Check if needed,
Production,Sub,Task Progress,YES,YES,YES,YES,YES,NO,Check if needed,
Production,Sub,Task Completion,YES,YES,YES,YES,YES,YES,Check if needed,
Monitoring,Parent,Alerts,YES,YES,YES,YES,YES,NO,Check if needed,
Monitoring,Sub,View Alerts,YES,YES,YES,YES,YES,NO,Check if needed,
Monitoring,Sub,Create Alert Rules,YES,YES,YES,YES,YES,NO,Check if needed,
Monitoring,Sub,Alert History,YES,YES,YES,YES,YES,NO,Check if needed,
Monitoring,Parent,Reports,YES,YES,YES,YES,YES,NO,Check if needed,
Monitoring,Sub,Generate Reports,YES,YES,YES,YES,YES,NO,Check if needed,
Monitoring,Sub,Scheduled Reports,YES,YES,YES,YES,YES,NO,Check if needed,
Monitoring,Sub,Report Templates,YES,YES,YES,YES,YES,NO,Check if needed,
Monitoring,Parent,Quality Control,YES,YES,YES,YES,YES,YES,Check if needed,
Monitoring,Sub,Quality Inspections,YES,YES,YES,YES,YES,NO,Check if needed,
Monitoring,Sub,Quality Metrics,YES,YES,YES,YES,YES,NO,Check if needed,
Monitoring,Sub,Quality Approvals,YES,YES,YES,YES,YES,YES,Check if needed,
Monitoring,Parent,Maintenance,YES,YES,YES,YES,YES,YES,Check if needed,
Monitoring,Sub,Maintenance Schedule,YES,YES,YES,YES,YES,NO,Check if needed,
Monitoring,Sub,Maintenance Requests,YES,YES,YES,YES,YES,NO,Check if needed,
Monitoring,Sub,Maintenance History,YES,YES,YES,YES,YES,NO,Check if needed,
Monitoring,Sub,Maintenance Approval,YES,YES,YES,YES,YES,YES,Check if needed,
Administration,Parent,User Management,YES,YES,YES,YES,YES,NO,Check if needed,
Administration,Sub,View Users,YES,YES,YES,YES,YES,NO,Check if needed,
Administration,Sub,Edit User Details,YES,YES,YES,YES,YES,NO,Check if needed,
Administration,Sub,User Permissions,YES,YES,YES,YES,YES,NO,Check if needed,
Administration,Parent,Add Users,YES,YES,YES,YES,YES,NO,Check if needed,
Administration,Sub,Manual User Creation,YES,YES,YES,YES,YES,NO,Check if needed,
Administration,Sub,Bulk User Import,YES,YES,YES,YES,YES,NO,Check if needed,
Administration,Parent,Role Profiles,YES,YES,YES,YES,YES,NO,Check if needed,
Administration,Sub,View Roles,YES,YES,YES,YES,YES,NO,Check if needed,
Administration,Sub,Create Role,YES,YES,YES,YES,YES,NO,Check if needed,
Administration,Sub,Edit Role Permissions,YES,YES,YES,YES,YES,NO,Check if needed,
Administration,Parent,Activity Logging,YES,YES,YES,YES,YES,NO,Check if needed,
Administration,Sub,View Logs,YES,YES,YES,YES,YES,NO,Check if needed,
Administration,Sub,Filter Logs,YES,YES,YES,YES,YES,NO,Check if needed,
Administration,Sub,Export Logs,YES,YES,YES,YES,YES,NO,Check if needed,
Administration,Parent,System Settings,YES,YES,YES,YES,YES,NO,Check if needed,
Administration,Sub,General Settings,YES,YES,YES,YES,YES,NO,Check if needed,
Administration,Sub,Security Settings,YES,YES,YES,YES,YES,NO,Check if needed,
Administration,Sub,Integration Settings,YES,YES,YES,YES,YES,NO,Check if needed,
Administration,Parent,Account,NO,YES,NO,YES,NO,NO,Check if needed,
Administration,Sub,Profile Settings,NO,YES,NO,YES,NO,NO,Check if needed,
Administration,Sub,Password & Security,NO,YES,NO,YES,NO,NO,Check if needed,
